,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1741,AA0002571811,레저/관광/예술,문화/예술시설,공연/연극장,미분류,,가든스테이지,208595.02020899998,445738.544255,37.51108219148113,127.09721511520382
1742,AA0000042487,교육/보건,교육시설,유아교육기관,어린이집,,이삭어린이집,206108.398622,448680.503038,37.53760909054644,127.069114323462
1743,AA0006783745,산업,서비스산업,언론/미디어,음반/비디오,,화랑비디오,184513.637331,443305.7185189999,37.48907251803757,126.82489089719483
1744,AA0002591330,행정,중앙행정기관,중앙행정부처,산하기관,,정보통신산업진흥원서울평가장,210685.919676,443843.88953999995,37.49398945057157,127.1208369525112
1745,AA0002131493,교육/보건,교육시설,대학교,전문대학,부속시설,식품영양관,204307.030977,451060.868533,37.559066315463795,127.04874647217402
1746,AA0000046749,교육/보건,교육시설,유아교육기관,어린이집,,키즈어린이집,196727.449491,445156.280776,37.505870175792104,126.9629879532366
1747,AA0000042704,교육/보건,교육시설,유아교육기관,어린이집,,경희의료원어린이집,204427.78866700002,454875.017108,37.59343099755588,127.05013622824573
1748,AA0003140085,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행,192032.66206300003,450798.497475,37.55667799081095,126.90982948720284
1749,AA0000555540,산업,서비스산업,금융/보험업,일반은행,국민은행,KB국민은행,190462.753481,445212.02828500007,37.50632901400366,126.89213455206838
1750,AA0002108841,교육/보건,교육시설,초등교육기관,공립초등학교,,서울인왕초등학교,195126.059593,454518.377985,37.59021545483166,126.94481433238697
1751,AA0006790829,산업,서비스산업,언론/미디어,기타언론/미디어,,애즈필름,199855.594698,457767.813242,37.6195054335761,126.99836431554569
1752,AA0006605572,교육/보건,보건시설,기타보건시설,약국,미분류,제정약국,193609.569148,443212.976392,37.48834457760481,126.92774209433034
1753,AA0002128291,교육/보건,교육시설,기타교육기관,미분류,,대신고등학교화산기념관,196577.71229300002,452621.369817,37.57313007621045,126.961259665534
1754,AA0002131113,교육/보건,교육시설,대학교,종합대학,부속시설,언어교육원,201819.412829,461137.59204200003,37.6498648623675,127.0206169457972
1755,AA0006564865,교육/보건,보건시설,한의원,,,웰빙한의원,202562.45130699998,457618.16822399996,37.61815359191632,127.02902445946908
1756,AA0006602658,교육/보건,보건시설,기타보건시설,약국,미분류,엄마약국,205760.394458,455048.177524,37.594983783600625,127.06522679094229
1757,AA0010084515,교육/보건,보건시설,기타보건시설,약국,미분류,오성약국,199599.22128,451618.051321,37.564096489756395,126.99546372827464
1758,AA0009428527,교육/보건,보건시설,한의원,,,우림한의원,204306.131253,462312.30658800004,37.66044053970848,127.04880248365741
1759,AA0010145679,산업,서비스산업,종합상품판매업,편의점,바이더웨이,세븐일레븐,186608.878546,449055.001803,37.54090633833828,126.84847766329331
1760,AA0010084519,교육/보건,보건시설,기타보건시설,약국,미분류,이레약국,193767.00953399998,456872.04825,37.61141359149919,126.92940633014356
1761,AA0000042577,교육/보건,교육시설,유아교육기관,어린이집,,햇살어린이집,203266.50446700002,452586.93622,37.57282039682775,127.03697671342944
1762,AA0010144795,산업,서비스산업,종합상품판매업,편의점,GS25,GS25연신내연서,192654.184866,457510.367501,37.61715655697739,126.9167962922358
1763,AA0003154439,레저/관광/예술,문화/예술시설,미술관,미술관,소형갤러리/화랑,심여화랑,198316.72907,453120.81423,37.57763486185233,126.98094420640898
1764,AA0000047031,교육/보건,교육시설,유아교육기관,어린이집,,지나어린이집,192794.886706,441964.17381999997,37.47708677527633,126.91854253788104
1765,AA0002126167,교육/보건,교육시설,고등교육기관,공립고등학교,,고척고등학교,186779.004958,445467.558342,37.508585953515585,126.85046718866492
1766,AA0000163141,교육/보건,보건시설,한의원,,,원만한의원,187038.809131,446840.454509,37.52095944370437,126.85338143352111
1767,AA0000163483,교육/보건,보건시설,한의원,,,회생한의원,202753.065453,453195.44432799995,37.57830469840323,127.03116688800404
1768,AA0009517297,산업,서비스산업,금융/보험업,일반은행,미분류,신한은행,215407.90599699997,450040.482654,37.54975398553335,127.17436311327586
1769,AA0002128267,교육/보건,교육시설,고등교육기관,공업고등학교,,한양공업고등학교,201033.70333599998,451820.759558,37.56592239059846,127.01170040579872
1770,AA0006604937,교육/보건,보건시설,기타보건시설,약국,미분류,일원역약국,207468.539499,442731.363279,37.48399712393161,127.08444340454204
1771,AA0002109177,교육/보건,교육시설,초등교육기관,공립초등학교,,서울홍연초등학교,193887.473412,453599.434462,37.58192845458927,126.93079799273154
1772,AA0000117772,교육/보건,보건시설,병/의원,정형외과,,SK우리들정형외과의원,203161.893797,457579.34481599997,37.61780193235927,127.03581407590218
1773,AA0006599663,교육/보건,보건시설,기타보건시설,약국,미분류,삼주약국,188959.788139,446980.71408299997,37.522248159865335,126.87510962374763
1774,AA0006595722,교육/보건,보건시설,기타보건시설,약국,미분류,누가약국,201828.443525,457753.31282299996,37.61937298042212,127.0207108138392
1775,AA0000041907,교육/보건,교육시설,유아교육기관,어린이집,,큰나무어린이집,209618.17537,455753.99098400003,37.601310864688124,127.10891889120491
1776,AA0010145480,산업,서비스산업,종합상품판매업,편의점,바이더웨이,세븐일레븐,203836.245123,464319.593916,37.67852787866727,127.04348769754937
1777,AA0006564158,교육/보건,보건시설,한의원,,,연당한의원,192613.98124300002,457921.310479,37.62085877765094,126.91633677030916
1778,AA0006598794,교육/보건,보건시설,기타보건시설,약국,미분류,별약국,211003.59689400002,448070.275467,37.53206554345509,127.12449249022221
1779,AA0002115607,교육/보건,교육시설,중등교육기관,공립중학교,,가원중학교,210879.643965,443533.79353100003,37.49119320850434,127.12302300987398
1780,AA0003897919,산업,서비스산업,종합상품판매업,시장,전통시장,남문시장,191222.35968,441573.67852700007,37.473554785639884,126.90076899600564
1781,AA0000160726,교육/보건,보건시설,한의원,,,아침햇살한의원,194747.431026,442567.769538,37.48253838142182,126.94061272556894
