,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
11086,AA0002123185,교육/보건,교육시설,유아교육기관,사립유치원,,즐거운유치원,194005.6215,457525.5694,37.61730332,126.9321034,서울특별시,은평구,불광1동
11087,AA0001252465,레저/관광/예술,문화/예술시설,공연/연극장,소극장,,물빛극장,200310.9324,453416.5386,37.58030081,127.0035201,서울특별시,종로구,이화동
11088,AA0006558982,교육/보건,보건시설,한의원,,,경희중화한의원,185987.0938,449158.7355,37.54183174,126.8414401,서울특별시,강서구,화곡본동
11089,AA0006505262,산업,서비스산업,종합상품판매업,편의점,CU,씨유,201184.696,460850.0973,37.64727562,127.0134241,서울특별시,강북구,우이동
11090,AA0002131687,교육/보건,교육시설,대학교,종합대학,부속시설,강원대학교의과대학,200082.6954,453444.3352,37.5805513,127.0009362,서울특별시,종로구,이화동
11091,AA0006561817,교육/보건,보건시설,한의원,,,배형일한의원,192743.576,454249.5969,37.58777807,126.9178411,서울특별시,은평구,응암3동
11092,AA0002131435,교육/보건,교육시설,대학교,종합대학,부속시설,혜화별관,200127.4342,450864.5664,37.55730769,127.0014423,서울특별시,중구,장충동
11093,AA0000163731,교육/보건,보건시설,한의원,,,명성하한의원,204433.9374,457101.9295,37.61349522,127.0502193,서울특별시,성북구,장위2동
11094,AA0006593915,교육/보건,보건시설,기타보건시설,약국,미분류,100세약국,195652.8776,449138.1078,37.54174209,126.9508112,서울특별시,마포구,도화동
11095,AA0001386696,레저/관광/예술,문화/예술시설,미술관,미술관,소형갤러리/화랑,아트센터나비,198263.4567,452228.1843,37.56959221,126.9803432,서울특별시,종로구,종로1.2.3.4가동
11096,AA0003145388,교육/보건,보건시설,병/의원,미분류,,의무실,200826.6548,451814.656,37.56586761,127.0093568,서울특별시,중구,광희동
11097,AA0002114852,교육/보건,교육시설,중등교육기관,사립중학교,,상명중학교,206004.35,461083.8704,37.64936302,127.0680387,서울특별시,노원구,중계2.3동
11098,AA0006791294,산업,서비스산업,언론/미디어,기타언론/미디어,,JCinema,193404.7372,451823.1858,37.56592123,126.9253488,서울특별시,서대문구,연희동
11099,AA0000092785,교육/보건,보건시설,기타보건시설,약국,지역약국,레몬약국,202384.5356,462282.0529,37.66017496,127.0270245,서울특별시,도봉구,방학3동
11100,AA0009514539,교육/보건,교육시설,유아교육기관,어린이집,,나사렛어린이집,190293.4403,452784.0029,37.57455061,126.8901196,서울특별시,마포구,상암동
11101,AA0009532306,산업,서비스산업,종합상품판매업,편의점,CU,CU,193920.5831,441348.9129,37.47155131,126.9312742,서울특별시,관악구,삼성동
11102,AA0002123010,교육/보건,교육시설,유아교육기관,사립유치원,,애동유치원,192947.8789,441599.8466,37.47380533,126.9202757,서울특별시,관악구,난곡동
11103,AA0006414160,산업,서비스산업,종합상품판매업,편의점,CU,씨유,207432.5933,447990.2663,37.53138034,127.0840901,서울특별시,광진구,자양2동
11104,AA0002571608,레저/관광/예술,문화/예술시설,미술관,미술관,미분류,갤러리수,198689.9447,452543.5753,37.57243458,126.9851703,서울특별시,종로구,종로1.2.3.4가동
11105,AA0000090634,교육/보건,보건시설,기타보건시설,약국,지역약국,새우림약국,208616.3258,455462.5421,37.59869487,127.0975703,서울특별시,중랑구,망우본동
11106,AA0005536355,산업,서비스산업,금융/보험업,일반은행,새마을금고,구산동새새마을,192138.3287,456507.2379,37.60811422,126.9109641,서울특별시,은평구,구산동
11107,AA0006113241,산업,서비스산업,종합상품판매업,기타종합상품판매업,,동원얼음,205437.1509,444724.3688,37.50196842,127.0614901,서울특별시,강남구,대치2동
11108,AA0006113220,산업,서비스산업,종합상품판매업,기타종합상품판매업,,동부얼음,206262.2845,462053.6298,37.65809866,127.0709698,서울특별시,노원구,상계2동
11109,AA0003726462,교육/보건,교육시설,유아교육기관,사립유치원,,서울솔가람유치원,212465.0285,442074.6219,37.47802596,127.1409252,서울특별시,송파구,위례동
11110,AA0002130662,교육/보건,교육시설,대학교,종합대학,부속시설,성서교육관,187229.4569,449930.63,37.54880452,126.8554843,서울특별시,강서구,화곡6동
11111,AA0000214571,레저/관광/예술,문화/예술시설,공연/연극장,문화예술회관,,은평문화예술회관,193639.5656,456007.0382,37.60361907,126.9279704,서울특별시,은평구,녹번동
11112,AA0000090235,교육/보건,보건시설,기타보건시설,약국,지역약국,아담약국,196894.5211,445343.2404,37.50755527,126.9648767,서울특별시,동작구,흑석동
11113,AA0010792688,교육/보건,교육시설,기타교육기관,미분류,,체육관,191938.7669,457537.5685,37.61739564,126.9086927,서울특별시,은평구,갈현2동
11114,AA0000554587,산업,서비스산업,금융/보험업,일반은행,기업은행,기업은행,203849.2614,451923.7746,37.56684309,127.04357,서울특별시,성동구,마장동
