STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT
,030101,0100,AA0000042445,교육/보건,교육시설,유아교육기관,어린이집,,도시철도공사대공원어린이집,,,,206737.978471,450311.497456,,,,,
,030205,0100,AA0006650713,교육/보건,보건시설,기타보건시설,약국,미분류,제신약국,,,,200640.607676,452373.885074,,,,,
,030205,0106,AA0000092121,교육/보건,보건시설,기타보건시설,약국,지역약국,금와약국,,,,206632.979335,448234.113821,,,,,
,030204,0000,AA0000165371,교육/보건,보건시설,한의원,,,거북이한의원,,,,192110.162520,455972.883991,,,,,
,060202,0100,AA0002571697,레저/관광/예술,문화/예술시설,미술관,미술관,미분류,소마미술관,,,,210956.743249,446345.333049,,,,,
,070308,0600,AA0006783555,산업,서비스산업,언론/미디어,음반/비디오,,비디오여행,,,,188074.272025,444944.241099,,,,,
,030205,0101,AA0006605709,교육/보건,보건시설,기타보건시설,약국,온누리,조은온누리약국,,,,205921.527651,451839.762640,,,,,
,030205,0100,AA0009194708,교육/보건,보건시설,기타보건시설,약국,미분류,종암동물약국,,,,203006.196504,455444.675881,,,,,
,060205,0100,AA0003893070,레저/관광/예술,문화/예술시설,공연/연극장,공연예술시설,,긱라이브하우스,,,,193992.601040,450762.905683,,,,,
,030205,0106,AA0000091205,교육/보건,보건시설,기타보건시설,약국,지역약국,비타민약국,,,,186100.578267,446629.390344,,,,,
,070301,0503,AA0006509297,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,205671.702129,451412.264545,,,,,
,030204,0000,AA0006563862,교육/보건,보건시설,한의원,,,아침나라한의원,,,,203851.629957,447339.979780,,,,,
,030205,0100,AA0006598418,교육/보건,보건시설,기타보건시설,약국,미분류,바다약국,,,,192588.959575,451158.593139,,,,,
,030204,0000,AA0006562114,교육/보건,보건시설,한의원,,,본디올세운한의원,,,,195804.537543,442059.185107,,,,,
,030101,0100,AA0000045911,교육/보건,교육시설,유아교육기관,어린이집,,다사랑어린이집,,,,189876.467302,443529.276473,,,,,
,030105,0204,AA0002131888,교육/보건,교육시설,대학교,종합대학,부속시설,인제관,,,,197157.730689,449651.305636,,,,,
,030201,0000,AA0000115653,교육/보건,보건시설,병/의원,미분류,,동부중앙의원,,,,206821.056689,456881.551207,,,,,
,030205,0100,AA0006650879,교육/보건,보건시설,기타보건시설,약국,미분류,하얀약국,,,,199008.736730,451665.929600,,,,,
,030102,0100,AA0002109148,교육/보건,교육시설,초등교육기관,사립초등학교,,명지초등학교,,,,193665.388581,453787.324877,,,,,
,030106,0100,AA0003137493,교육/보건,교육시설,기타교육기관,특수학교,,정화예술대학교,,,,198671.530548,451115.922453,,,,,
,030101,0100,AA0000042709,교육/보건,교육시설,유아교육기관,어린이집,,포르테몬테소리어린이집,,,,206313.773516,451634.767385,,,,,
,030105,0302,AA0002137460,교육/보건,교육시설,대학교,정보통신대학,사이버종합대학,공연예술센터,,,,200376.934969,453420.891496,,,,,
,030105,0204,AA0002131157,교육/보건,교육시설,대학교,종합대학,부속시설,연수관,,,,202274.735579,454913.574236,,,,,
,030204,0000,AA0006560515,교육/보건,보건시설,한의원,,,덕수한의원종로1가점,,,,198196.075515,452482.924747,,,,,
,030204,0000,AA0003147020,교육/보건,보건시설,한의원,,,휴그린한의원,,,,202254.235553,444660.440162,,,,,
,030204,0000,AA0006562956,교육/보건,보건시설,한의원,,,성광한의원,,,,206810.980504,454640.606607,,,,,
,030105,0204,AA0002131657,교육/보건,교육시설,대학교,종합대학,부속시설,제3연구센터,,,,206503.806775,449950.108884,,,,,
,030205,0106,AA0000089975,교육/보건,보건시설,기타보건시설,약국,지역약국,온수약국,,,,184152.659133,443652.931377,,,,,
,030205,0100,AA0006598029,교육/보건,보건시설,기타보건시설,약국,미분류,무림약국,,,,191049.247206,441205.619785,,,,,
,070308,0800,AA0006790019,산업,서비스산업,언론/미디어,기타언론/미디어,,티에이엠,,,,204665.767740,444927.352406,,,,,
,030204,0000,AA0000160440,교육/보건,보건시설,한의원,,,맞춤한의원,,,,207104.161238,443528.746148,,,,,
,070305,0118,AA0003139966,산업,서비스산업,금융/보험업,일반은행,상호저축은행,솔로몬저축은행강북출장소,,,,193100.454465,449785.787930,,,,,
,060203,0000,AA0003135406,레저/관광/예술,문화/예술시설,박물관,미분류,,성암고서박물관,,,,197882.506169,452003.070701,,,,,
,030205,0100,AA0006603021,교육/보건,보건시설,기타보건시설,약국,미분류,영인약국,,,,191432.965636,444111.762560,,,,,
,030103,0200,AA0002117247,교육/보건,교육시설,중등교육기관,공립중학교,,천왕중학교,,,,185635.785317,442603.413505,,,,,
,070301,0210,AA0009421300,산업,서비스산업,종합상품판매업,할인매장,농협하나로마트,하나로마트농협,,,,202543.402306,450860.411499,,,,,
,030205,0106,AA0000094238,교육/보건,보건시설,기타보건시설,약국,지역약국,행복한정약국,,,,205495.339794,455978.135327,,,,,
,030105,0204,AA0002131087,교육/보건,교육시설,대학교,종합대학,부속시설,누리관,,,,204854.048541,457863.467365,,,,,
,030101,0100,AA0000046093,교육/보건,교육시설,유아교육기관,어린이집,,물고기어린이집,,,,187482.335524,444702.006057,,,,,
,070308,0301,AA0003136140,산업,서비스산업,언론/미디어,신문사,대형신문사,중앙일보시사지지사,,,,198512.945878,451966.409570,,,,,
,030204,0000,AA0006566295,교육/보건,보건시설,한의원,,,진성한의원,,,,205233.485005,456494.946084,,,,,
,030205,0100,AA0010083876,교육/보건,보건시설,기타보건시설,약국,미분류,동호일층약국,,,,206785.169959,457045.425300,,,,,
,070305,0102,AA0000552842,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행,,,,192728.280638,454867.751819,,,,,
,070308,0300,AA0003142319,산업,서비스산업,언론/미디어,신문사,미분류,프레시안,,,,192835.839642,450070.489995,,,,,
,030105,0204,AA0002131127,교육/보건,교육시설,대학교,종합대학,부속시설,CJ식품안전관,,,,202351.346963,454052.643843,,,,,
,070301,0403,AA0006926675,산업,서비스산업,종합상품판매업,시장,일반시장,신영시장상인회,,,,185417.208829,448344.401390,,,,,
,030204,0000,AA0006558657,교육/보건,보건시설,한의원,,,경희미르한의원,,,,207579.073294,448099.088041,,,,,
,030205,0106,AA0000092208,교육/보건,보건시설,기타보건시설,약국,지역약국,전약국,,,,190516.761201,443519.672510,,,,,
,030103,0200,AA0002115032,교육/보건,교육시설,중등교육기관,공립중학교,,상암중학교,,,,190118.680657,453290.265301,,,,,
,030204,0000,AA0006564891,교육/보건,보건시설,한의원,,,유림미한의원,,,,191277.152656,439355.125170,,,,,
,070305,0102,AA0000552730,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행,,,,200286.565708,451603.701186,,,,,
,030101,0100,AA0000043264,교육/보건,교육시설,유아교육기관,어린이집,,구립삼양어린이집,,,,201761.475253,458681.320114,,,,,
,030205,0100,AA0006604117,교육/보건,보건시설,기타보건시설,약국,미분류,원약국,,,,206312.719532,449199.795142,,,,,
,010101,2600,AA0002590870,행정,중앙행정기관,중앙행정부처,산하기관,,자유총연맹강남구,,,,203287.286928,446421.619599,,,,,
,030105,0204,AA0002131916,교육/보건,교육시설,대학교,종합대학,부속시설,이화수영장,,,,195091.704596,451386.990177,,,,,
,030204,0000,AA0000163191,교육/보건,보건시설,한의원,,,성신한의원,,,,204280.704055,457322.200595,,,,,
,070308,0800,AA0006790430,산업,서비스산업,언론/미디어,기타언론/미디어,,필름라인,,,,202722.714898,446675.720145,,,,,
,070301,0205,AA0003720823,산업,서비스산업,종합상품판매업,할인매장,이마트,이마트왕십리점,,,,203369.959042,451381.011630,,,,,
,030101,0100,AA0000042354,교육/보건,교육시설,유아교육기관,어린이집,,동서울어린이집,,,,208081.910898,449296.237816,,,,,
,030105,0204,AA0002131137,교육/보건,교육시설,대학교,종합대학,부속시설,동원글로벌리더쉽홀,,,,202874.014363,454529.612470,,,,,
,030205,0100,AA0006609185,교육/보건,보건시설,기타보건시설,약국,미분류,희경약국,,,,202142.924738,458437.255872,,,,,
,030201,0000,AA0009196739,교육/보건,보건시설,병/의원,미분류,,올의원,,,,198617.532054,451487.779817,,,,,
,060205,0000,AA0002571859,레저/관광/예술,문화/예술시설,공연/연극장,미분류,,상설무대우리소리,,,,192772.945086,450798.433868,,,,,
,070305,0105,AA0009428953,산업,서비스산업,금융/보험업,일반은행,하나은행,하나은행,,,,205790.207583,462783.403245,,,,,
,030105,0204,AA0002131340,교육/보건,교육시설,대학교,종합대학,부속시설,제2과학관,,,,209492.196639,460435.195353,,,,,
,030105,0204,AA0002131021,교육/보건,교육시설,대학교,종합대학,부속시설,계당기념관,,,,196041.218797,456057.841996,,,,,
,030105,0204,AA0002131632,교육/보건,교육시설,대학교,종합대학,부속시설,입학정보관,,,,206503.975879,448977.723572,,,,,
,070301,0500,AA0010145319,산업,서비스산업,종합상품판매업,편의점,미분류,위드미,,,,191970.986783,446217.422478,,,,,
,070301,0402,AA0003897685,산업,서비스산업,종합상품판매업,시장,전통시장,청량리청과물도매시장,,,,203624.606802,453346.140252,,,,,
,030101,0100,AA0000046735,교육/보건,교육시설,유아교육기관,어린이집,,구립흑석어린이집,,,,196611.872138,444503.414671,,,,,
,060202,0102,AA0003893087,레저/관광/예술,문화/예술시설,미술관,미술관,소형갤러리/화랑,사루비아다방,,,,197476.159588,453542.505845,,,,,
,060201,0000,AA0002571206,레저/관광/예술,문화/예술시설,전시관,,,전쟁기념관,,,,197977.975698,448536.233633,,,,,
,070308,0600,AA0010766352,산업,서비스산업,언론/미디어,음반/비디오,,라이브모션픽쳐스,,,,202034.828349,446038.815663,,,,,
,030101,0100,AA0000042777,교육/보건,교육시설,유아교육기관,어린이집,,사과나무어린이집,,,,207745.233815,453723.212537,,,,,
,030105,0204,AA0002131273,교육/보건,교육시설,대학교,종합대학,부속시설,간호대학,,,,204818.649894,454930.118956,,,,,
,070301,0503,AA0009421320,산업,서비스산업,종합상품판매업,편의점,CU,CU,,,,202199.127901,450886.591131,,,,,
,070305,0105,AA0000553985,산업,서비스산업,금융/보험업,일반은행,하나은행,하나은행,,,,202521.472846,454041.544699,,,,,
,030101,0100,AA0000043474,교육/보건,교육시설,유아교육기관,어린이집,,창3동어린이집,,,,203781.210224,460006.599601,,,,,
,030205,0100,AA0006605531,교육/보건,보건시설,기타보건시설,약국,미분류,제일약국,,,,202590.300866,460089.287736,,,,,
,070305,0104,AA0000552409,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행,,,,191923.029597,443758.230105,,,,,
,030204,0000,AA0000165422,교육/보건,보건시설,한의원,,,숲속아이한의원,,,,195343.221686,443027.109096,,,,,
,070301,0400,AA0003897723,산업,서비스산업,종합상품판매업,시장,미분류,강서농수산물도매시장,,,,183995.044763,450344.588219,,,,,
,070308,0800,AA0006791216,산업,서비스산업,언론/미디어,기타언론/미디어,,비지엠케이필름,,,,194493.711443,445321.480234,,,,,
,060202,0102,AA0003156066,레저/관광/예술,문화/예술시설,미술관,미술관,소형갤러리/화랑,표구전문점가비화랑,,,,198795.503869,452634.172040,,,,,
