,id,name,line,line_detail,address,latitude_x,longitude_x,latitude_y,longitude_y,sido,gu,dong
115,태릉입구7,태릉입구,7,7,서울특별시 노원구 동일로 지하 992-1,37.617983,127.07512,37.617983,127.07512,서울특별시,노원구,공릉1동
116,상계4,상계,4,4,서울특별시 노원구 상계로 182,37.660878,127.073572,37.660878,127.073572,서울특별시,노원구,상계5동
117,당고개4,당고개,4,4,서울특별시 노원구 상계로 305,37.670272,127.079066,37.670272,127.079066,서울특별시,노원구,상계3.4동
118,노원4,노원,4,4,서울특별시 노원구 상계로 69-1,37.655128,127.061368,37.655128,127.061368,서울특별시,노원구,상계2동
119,광운대G,광운대,G,경춘,서울특별시 노원구 석계로 98-2,37.623632,127.061835,37.623632,127.061835,서울특별시,노원구,월계1동
120,광운대1,광운대,1,1,서울특별시 노원구 석계로 98-2,37.623632,127.061835,37.623632,127.061835,서울특별시,노원구,월계1동
121,월계1,월계,1,1,서울특별시 노원구 월계로53길 40,37.633212,127.058831,37.633212,127.058831,서울특별시,노원구,월계2동
122,석계1,석계,1,1,서울특별시 노원구 화랑로 341,37.614805,127.065851,37.614805,127.065851,서울특별시,성북구,석관동
123,석계6,석계,6,6,서울특별시 노원구 화랑로 지하 347-1,37.614805,127.065851,37.614805,127.065851,서울특별시,성북구,석관동
124,화랑대6,화랑대,6,6,서울특별시 노원구 화랑로 지하 510,37.620064,127.084689,37.620064,127.084689,서울특별시,노원구,공릉2동
125,녹천1,녹천,1,1,서울특별시 도봉구 덕릉로 376,37.644799,127.051269,37.644799,127.051269,서울특별시,도봉구,창4동
126,도봉산1,도봉산,1,1,서울특별시 도봉구 도봉로 964-33,37.689313,127.046222,37.689313,127.046222,서울특별시,도봉구,도봉2동
127,도봉산7,도봉산,7,7,서울특별시 도봉구 도봉로 964-40,37.689313,127.046222,37.689313,127.046222,서울특별시,도봉구,도봉2동
128,쌍문4,쌍문,4,4,서울특별시 도봉구 도봉로 지하 486-1,37.648627,127.034709,37.648627,127.034709,서울특별시,도봉구,쌍문3동
129,방학1,방학,1,1,서울특별시 도봉구 도봉로150다길 3,37.667503,127.044273,37.667503,127.044273,서울특별시,도봉구,방학1동
130,도봉1,도봉,1,1,서울특별시 도봉구 도봉로170길 2,37.679563,127.045595,37.679563,127.045595,서울특별시,도봉구,도봉2동
131,창동1,창동,1,1,서울특별시 도봉구 마들로11길 77,37.653166,127.047731,37.653166,127.047731,서울특별시,도봉구,창4동
132,창동4,창동,4,4,서울특별시 도봉구 마들로11길 77,37.653166,127.047731,37.653166,127.047731,서울특별시,도봉구,창4동
133,신설동UI,신설동,UI,우이,서울특별시 동대문구 신설동 132-30,37.575297,127.025087,37.575297,127.025087,서울특별시,동대문구,용신동
134,청량리G,청량리,G,경춘,서울특별시 동대문구 왕산로 214,37.580178,127.046835,37.580178,127.046835,서울특별시,동대문구,전농1동
135,청량리K,청량리,K,경의중앙,서울특별시 동대문구 왕산로 214,37.580178,127.046835,37.580178,127.046835,서울특별시,동대문구,전농1동
136,신설동1,신설동,1,1,서울특별시 동대문구 왕산로 지하 1,37.575297,127.025087,37.575297,127.025087,서울특별시,동대문구,용신동
137,신설동2,신설동,2,2,서울특별시 동대문구 왕산로 지하 1,37.575297,127.025087,37.575297,127.025087,서울특별시,동대문구,용신동
138,청량리1,청량리,1,1,서울특별시 동대문구 왕산로 지하 205,37.580178,127.046835,37.580178,127.046835,서울특별시,동대문구,전농1동
139,제기동1,제기동,1,1,서울특별시 동대문구 왕산로 지하 93,37.578103,127.034893,37.57810300000001,127.034893,서울특별시,동대문구,용신동
140,용두2,용두,2,2,서울특별시 동대문구 천호대로 지하 129,37.574028,127.038091,37.57402800000001,127.038091,서울특별시,동대문구,용신동
141,장한평5,장한평,5,5,서울특별시 동대문구 천호대로 지하 405,37.56144,127.064623,37.56144,127.064623,서울특별시,성동구,용답동
142,신이문1,신이문,1,1,서울특별시 동대문구 한천로 472,37.601854,127.067325,37.601854,127.067325,서울특별시,동대문구,이문2동
143,회기K,회기,K,경의중앙,서울특별시 동대문구 회기로 196,37.58946,127.057583,37.58946,127.057583,서울특별시,동대문구,휘경1동
144,회기1,회기,1,1,서울특별시 동대문구 회기로 196,37.58946,127.057583,37.58946,127.057583,서울특별시,동대문구,휘경1동
145,회기G,회기,G,경춘,서울특별시 동대문구 회기로 196,37.58946,127.057583,37.58946,127.057583,서울특별시,동대문구,휘경1동
146,외대앞1,외대앞,1,1,서울특별시 동대문구 휘경로 27,37.596073,127.063549,37.596073,127.063549,서울특별시,동대문구,이문1동
147,사당2,사당,2,2,서울특별시 동작구 남부순환로 지하 2089,37.47653,126.981685,37.47653,126.981685,서울특별시,관악구,남현동
