,name,longitude_x,latitude_x,latitude_y,longitude_y,sido,gu,dong
8851,뉴서울아파트,126.9110185142,37.47142590510001,37.47142590510001,126.9110185142,서울특별시,관악구,미성동
8852,푸르지오122동,126.9596641783,37.4860981959,37.4860981959,126.9596641783,서울특별시,관악구,청림동
8853,승산밝은빛교회.구무림비디오,126.9242273045,37.4757279844,37.4757279844,126.9242273045,서울특별시,관악구,난곡동
8854,코사마트,126.9302023262,37.4762191632,37.4762191632,126.9302023262,서울특별시,관악구,서원동
8855,인수당약국,126.9681361509,37.4701674287,37.4701674287,126.9681361509,서울특별시,관악구,인헌동
8856,벽산아파트후문.만물슈퍼,126.9418503621,37.4907882284,37.4907882284,126.9418503621,서울특별시,관악구,은천동
8857,신협,126.9465737839,37.4831950485,37.4831950485,126.9465737839,서울특별시,관악구,중앙동
8858,쌍용아파트후문,126.9117541837,37.4726771928,37.4726771928,126.9117541837,서울특별시,관악구,미성동
8859,관악로입구,126.9580220655,37.4864265271,37.4864265271,126.9580220655,서울특별시,관악구,청림동
8860,한마음슈퍼,126.9234984545,37.4753175115,37.4753175115,126.9234984545,서울특별시,관악구,난곡동
8861,혜성사세탁소,126.9302987658,37.4770770731,37.4770770731,126.9302987658,서울특별시,관악구,서원동
8862,우리현대마트,126.9675399492,37.4710782857,37.4710782857,126.9675399492,서울특별시,관악구,인헌동
8863,우리슈퍼,126.9421119066,37.4903837611,37.4903837611,126.9421119066,서울특별시,관악구,은천동
8864,두산아파트입구,126.9468248253,37.4847729966,37.4847729966,126.9468248253,서울특별시,관악구,중앙동
8865,벽산아파트501동.적십자센터,126.9465804386,37.4929053524,37.4929053524,126.9465804386,서울특별시,관악구,성현동
8866,신라놀이터,126.9125494627,37.4732481844,37.4732481844,126.9125494627,서울특별시,관악구,미성동
8867,충남슈퍼.생각대로통신,126.9227888212,37.4749187609,37.4749187609,126.9227888212,서울특별시,관악구,난곡동
8868,우리문방구,126.9303177027,37.4773834603,37.4773834603,126.9303177027,서울특별시,관악구,서원동
8869,동인약국.인헌중고입구,126.9669821806,37.4719720293,37.4719720293,126.9669821806,서울특별시,관악구,인헌동
8870,수정슈퍼,126.9421010465,37.4898025437,37.4898025437,126.9421010465,서울특별시,관악구,은천동
8871,현대시장,126.9469475848,37.4870735721,37.4870735721,126.9469475848,서울특별시,관악구,성현동
8872,벽산아파트,126.9438938598,37.4922931588,37.4922931588,126.9438938598,서울특별시,관악구,은천동
8873,두영아파트,126.9137749689,37.474298874,37.474298874,126.9137749689,서울특별시,관악구,미성동
8874,삼성산주공정문,126.9262870497,37.461062865,37.461062865,126.9262870497,서울특별시,관악구,삼성동
8875,서울대입구역2호선,126.9538359816,37.4824664116,37.4824664116,126.9538359816,서울특별시,관악구,행운동
8876,제일교회입구,126.9220871034,37.4745263191,37.4745263191,126.9220871034,서울특별시,관악구,난곡동
8877,GS편의점,126.93063897,37.4784379432,37.4784379432,126.93063897,서울특별시,관악구,서원동
8878,오리사랑,126.9668389441,37.4737417629,37.4737417629,126.9668389441,서울특별시,관악구,인헌동
8879,서울관광고등학교,126.9418663911,37.48907523739999,37.48907523739999,126.9418663911,서울특별시,관악구,은천동
8880,구암초등학교정문,126.9464345431,37.4881663803,37.4881663803,126.9464345431,서울특별시,관악구,성현동
8881,현대홈타운아파트,126.9637777506,37.4796863627,37.4796863627,126.9637777506,서울특별시,관악구,행운동
8882,미성중학교,126.9131844409,37.4755708036,37.4755708036,126.9131844409,서울특별시,관악구,미성동
8883,삼성산주공307동앞,126.9273354547,37.4617159167,37.4617159167,126.9273354547,서울특별시,관악구,삼성동
8884,관악프라자,126.954733128,37.4835760192,37.4835760192,126.954733128,서울특별시,관악구,행운동
8885,남강중고등학교입구,126.9213944256,37.4741455935,37.4741455935,126.9213944256,서울특별시,관악구,난곡동
8886,동산교회,126.929792687,37.4790015356,37.4790015356,126.929792687,서울특별시,관악구,신원동
8887,하모니마트,126.9667445158,37.4750663629,37.4750663629,126.9667445158,서울특별시,관악구,인헌동
8888,산성교회,126.9415478054,37.4886722866,37.4886722866,126.9415478054,서울특별시,관악구,은천동
8889,방앗간,126.9460928644,37.4899711367,37.4899711367,126.9460928644,서울특별시,관악구,성현동
8890,낙성대역,126.9624207194,37.4777900122,37.4777900122,126.9624207194,서울특별시,관악구,행운동
8891,라이프아파트,126.9136959114,37.4771733447,37.4771733447,126.9136959114,서울특별시,관악구,미성동
8892,2단지종합상가,126.9266080891,37.4633780118,37.4633780118,126.9266080891,서울특별시,관악구,삼성동
8893,애동유치원,126.9202354038,37.4742691695,37.4742691695,126.9202354038,서울특별시,관악구,난곡동
8894,서강약국,126.9281244578,37.4794709098,37.4794709098,126.9281244578,서울특별시,관악구,신원동
8895,인헌시장입구,126.9657720013,37.47542833,37.47542833,126.9657720013,서울특별시,관악구,인헌동
8896,경천교회,126.9404796696,37.4880274638,37.4880274638,126.9404796696,서울특별시,관악구,은천동
8897,기숙사구관,126.9573923129,37.4623361202,37.4623361202,126.9573923129,서울특별시,관악구,낙성대동
8898,성현동주민센터,126.9472769839,37.4898211867,37.4898211867,126.9472769839,서울특별시,관악구,성현동
8899,사랑의병원,126.9564304426,37.4796244089,37.4796244089,126.9564304426,서울특별시,관악구,낙성대동
8900,신림고등학교,126.9160901041,37.4776805895,37.4776805895,126.9160901041,서울특별시,관악구,미성동
8901,203동앞,126.9266532339,37.4646107556,37.4646107556,126.9266532339,서울특별시,관악구,삼성동
8902,관악로입구,126.9577948573,37.4862759617,37.4862759617,126.9577948573,서울특별시,관악구,행운동
8903,세이브마트,126.918818829,37.4741762919,37.4741762919,126.918818829,서울특별시,관악구,난곡동
8904,동부아파트,126.9284313945,37.4813012413,37.4813012413,126.9284313945,서울특별시,관악구,신원동
8905,파리바게트.낙성대지하철,126.9642792095,37.4761451688,37.4761451688,126.9642792095,서울특별시,관악구,인헌동
8906,국회단지입구,126.9393194579,37.4865995241,37.4865995241,126.9393194579,서울특별시,관악구,보라매동
8907,기숙사신관,126.9579499821,37.4637141145,37.4637141145,126.9579499821,서울특별시,관악구,낙성대동
8908,구암어린이집앞,126.9476358057,37.4909558362,37.4909558362,126.9476358057,서울특별시,관악구,성현동
8909,낙성대역,126.9626592502,37.4778756928,37.4778756928,126.9626592502,서울특별시,관악구,행운동
8910,우방아파트,126.9174151184,37.489108435,37.489108435,126.9174151184,서울특별시,관악구,신사동
8911,난곡터널,126.9183861861,37.47797956260001,37.47797956260001,126.9183861861,서울특별시,관악구,미성동
8912,광신고등학교.주공1단지,126.9269067015,37.465525537,37.465525537,126.9269067015,서울특별시,관악구,삼성동
8913,우성아파트103동,126.9592457839,37.4860917446,37.4860917446,126.9592457839,서울특별시,관악구,행운동
8914,난우초등학교,126.917730357,37.475947114,37.475947114,126.917730357,서울특별시,관악구,미성동
8915,삼모타워앞,126.9284597454,37.4824006069,37.4824006069,126.9284597454,서울특별시,관악구,서원동
